NODE_0015422	2020-07-08
NODE_0015434	2020-07-08
NODE_0015438	2020-07-08
NODE_0015462	No Russia on stem
NODE_0015463	No Russia on stem
NODE_0015509	2020-04-05
NODE_0015520	2020-04-05
NODE_0015523	No Russia on stem
NODE_0015524	No Russia on stem
NODE_0015528	No Russia on stem
NODE_0015532	No Russia on stem
NODE_0015535	No Russia on stem
NODE_0015545	2020-04-05
NODE_0015551	2020-04-05
NODE_0015564	2020-04-05
NODE_0015583	2020-04-05
NODE_0015588	2020-04-05
NODE_0015594	No Russia on stem
NODE_0015597	No Russia on stem
NODE_0015600	2020-04-05
NODE_0015616	2020-04-05
NODE_0015621	No Russia on stem
NODE_0015623	No Russia on stem
NODE_0015634	2020-04-05
NODE_0015648	2020-04-05
NODE_0015652	2020-10-04
NODE_0015660	No Russia on stem
NODE_0015664	No Russia on stem
NODE_0015666	No Russia on stem
NODE_0015670	2020-04-05
NODE_0015677	2020-04-05
NODE_0015679	2020-04-05
NODE_0015687	2020-04-05
NODE_0015689	2020-04-05
NODE_0015696	No Russia on stem
NODE_0015709	2020-04-05
NODE_0015715	No Russia on stem
NODE_0015721	No Russia on stem
NODE_0015780	No Russia on stem
NODE_0015820	No Russia on stem
NODE_0015936	2020-03-20
NODE_0015944	No Russia on stem
NODE_0015948	No Russia on stem
NODE_0015950	No Russia on stem
NODE_0015953	No Russia on stem
NODE_0015959	No Russia on stem
NODE_0017129	No Russia on stem
NODE_0018235	2020-03-16
NODE_0018387	2020-03-16
NODE_0019014	2020-03-13
NODE_0019015	2020-03-13
NODE_0019048	No Russia on stem
NODE_0019224	No Russia on stem
NODE_0019481	No Russia on stem
NODE_0019630	No Russia on stem
NODE_0019939	2020-03-13
NODE_0020009	No Russia on stem
NODE_0020054	No Russia on stem
NODE_0020166	No Russia on stem
NODE_0020213	No Russia on stem
NODE_0020352	2020-03-13
NODE_0020368	2020-03-13
NODE_0020439	No Russia on stem
NODE_0020539	No Russia on stem
NODE_0020540	No Russia on stem
NODE_0020551	2020-03-13
NODE_0020557	2020-03-13
NODE_0020602	No Russia on stem
NODE_0020906	No Russia on stem
NODE_0020937	No Russia on stem
NODE_0021290	No Russia on stem
NODE_0021331	2020-05-02
NODE_0021336	2020-05-02
NODE_0021350	No Russia on stem
NODE_0021401	No Russia on stem
NODE_0021443	No Russia on stem
NODE_0021451	No Russia on stem
NODE_0021453	No Russia on stem
NODE_0021459	2020-08-21
NODE_0021474	2020-08-11
NODE_0021484	2020-08-11
NODE_0021556	No Russia on stem
NODE_0021575	No Russia on stem
NODE_0021586	No Russia on stem
NODE_0021795	2020-03-13
NODE_0021946	2020-03-13
NODE_0022110	No Russia on stem
NODE_0022113	No Russia on stem
NODE_0022905	No Russia on stem
NODE_0022935	No Russia on stem
NODE_0022937	2020-06-09
NODE_0023039	No Russia on stem
NODE_0023049	No Russia on stem
NODE_0029197	No Russia on stem
NODE_0029259	No Russia on stem
NODE_0029497	2020-03-13
NODE_0029512	No Russia on stem
NODE_0029597	No Russia on stem
NODE_0029671	No Russia on stem
NODE_0029698	No Russia on stem
NODE_0029795	No Russia on stem
NODE_0029923	No Russia on stem
NODE_0029949	No Russia on stem
NODE_0029954	No Russia on stem
NODE_0029963	No Russia on stem
NODE_0029984	No Russia on stem
NODE_0030255	No Russia on stem
NODE_0030495	No Russia on stem
NODE_0030553	No Russia on stem
NODE_0030685	No Russia on stem
NODE_0030939	No Russia on stem
NODE_0031114	No Russia on stem
NODE_0031179	No Russia on stem
NODE_0031234	No Russia on stem
NODE_0031834	No Russia on stem
NODE_0031891	No Russia on stem
NODE_0031909	No Russia on stem
NODE_0032186	No Russia on stem
NODE_0032302	No Russia on stem
NODE_0032351	2020-03-13
NODE_0032506	2020-03-13
NODE_0032521	No Russia on stem
NODE_0032523	No Russia on stem
NODE_0032530	No Russia on stem
NODE_0032531	No Russia on stem
NODE_0032534	No Russia on stem
NODE_0032539	No Russia on stem
NODE_0032543	No Russia on stem
NODE_0032553	2020-06-17
NODE_0032563	No Russia on stem
NODE_0032566	No Russia on stem
NODE_0032572	No Russia on stem
NODE_0032591	2020-06-17
NODE_0032595	2020-06-17
NODE_0032597	2020-06-17
NODE_0032600	2020-06-17
NODE_0032613	2020-06-17
NODE_0032635	No Russia on stem
NODE_0032648	No Russia on stem
NODE_0032649	No Russia on stem
NODE_0032652	No Russia on stem
NODE_0032653	No Russia on stem
NODE_0032679	No Russia on stem
NODE_0032691	2020-09-11
NODE_0032696	No Russia on stem
NODE_0032698	No Russia on stem
NODE_0032708	No Russia on stem
NODE_0032738	2020-05-15
NODE_0032742	No Russia on stem
NODE_0032745	2020-05-14
NODE_0032942	No Russia on stem
NODE_0033044	No Russia on stem
NODE_0033050	No Russia on stem
NODE_0033063	No Russia on stem
NODE_0033064	No Russia on stem
NODE_0033087	No Russia on stem
NODE_0033126	No Russia on stem
NODE_0033128	No Russia on stem
NODE_0033230	No Russia on stem
NODE_0033239	No Russia on stem
NODE_0033252	No Russia on stem
NODE_0033270	No Russia on stem
NODE_0033277	No Russia on stem
NODE_0033286	No Russia on stem
NODE_0033294	No Russia on stem
NODE_0033299	No Russia on stem
NODE_0033412	No Russia on stem
NODE_0033514	No Russia on stem
NODE_0033520	No Russia on stem
NODE_0033618	2020-05-14
NODE_0033815	No Russia on stem
NODE_0033847	No Russia on stem
NODE_0033911	2020-03-13
NODE_0033950	No Russia on stem
NODE_0033957	No Russia on stem
NODE_0033961	No Russia on stem
NODE_0034009	No Russia on stem
NODE_0034015	No Russia on stem
NODE_0034017	No Russia on stem
NODE_0034035	No Russia on stem
NODE_0034041	No Russia on stem
NODE_0034054	2020-03-13
NODE_0034070	2020-03-13
NODE_0034074	2020-03-13
NODE_0034127	2020-03-13
NODE_0034140	No Russia on stem
NODE_0034143	2020-05-13
NODE_0034162	No Russia on stem
NODE_0034241	2020-03-13
NODE_0034259	No Russia on stem
NODE_0034278	2020-03-13
NODE_0034288	No Russia on stem
NODE_0034301	2020-03-13
NODE_0034314	2020-03-13
NODE_0034319	2020-03-13
NODE_0034336	No Russia on stem
NODE_0034347	2020-08-14
NODE_0034350	2020-08-14
NODE_0034371	2020-03-02
NODE_0034387	2020-03-13
NODE_0034391	No Russia on stem
NODE_0034421	No Russia on stem
NODE_0034482	2020-03-13
NODE_0034529	No Russia on stem
NODE_0034827	No Russia on stem
NODE_0035957	No Russia on stem
NODE_0035981	No Russia on stem
NODE_0036040	No Russia on stem
NODE_0036058	No Russia on stem
NODE_0036063	No Russia on stem
NODE_0036068	No Russia on stem
NODE_0036076	No Russia on stem
NODE_0036087	No Russia on stem
NODE_0036090	No Russia on stem
NODE_0036092	No Russia on stem
NODE_0036138	No Russia on stem
NODE_0036141	No Russia on stem
NODE_0036408	2020-04-01
NODE_0036688	No Russia on stem
NODE_0036777	No Russia on stem
NODE_0036948	No Russia on stem
NODE_0036951	No Russia on stem
NODE_0036982	No Russia on stem
NODE_0036984	No Russia on stem
NODE_0036990	No Russia on stem
NODE_0037001	No Russia on stem
NODE_0037005	No Russia on stem
